Name,Full name,Player ID,Full link,Multiple
adreN,Dauren 'AdreN' Kystaubayev,334,https://www.hltv.org/player/334/adren,True
DAVEY,David 'DAVEY' Stafford,8508,https://www.hltv.org/player/8508/davey,True
Maikelele,Mikail 'Maikelele' Bill,1045,https://www.hltv.org/player/1045/maikelele,True
THREAT,Björn 'THREAT' Pers,37,https://www.hltv.org/player/37/threat,True
arya,Arya 'arya' Hekmat,6453,https://www.hltv.org/player/6453/arya,True
Professor_Chaos,Andrew 'Professor_Chaos' Heintz,8912,https://www.hltv.org/player/8912/professor-chaos,False
freakazoid,Ryan 'freakazoid' Abadir,7808,https://www.hltv.org/player/7808/freakazoid,True
jasonR,Jason 'jasonR' Ruchelski,8794,https://www.hltv.org/player/8794/jasonr,False
abE,Gabriel 'Gabe' Shah,20234,https://www.hltv.org/player/20234/gabe,True
Furlan,Damian 'Furlan' Kislowski,8327,https://www.hltv.org/player/8327/furlan,True
