name,nationality,team,maps,rounds,KD-diff,KD,rating,event,event_ID,Full name,Player ID,Full link
dexter,Australia,MOUZ,14,359,-50,0.81,0.92,IEM Rio Major 2022,6586,Christopher 'dexter' Nong,9115,https://www.hltv.org/player/9115/dexter
Snappi,Denmark,ENCE,8,200,-24,0.83,0.91,IEM Rio Major 2022,6586,Marco 'Snappi' Pfeiffer,922,https://www.hltv.org/player/922/snappi
Brollan,Sweden,Ninjas in Pyjamas,4,114,-16,0.8,0.91,IEM Rio Major 2022,6586,Ludvig 'Brollan' Brolin,13666,https://www.hltv.org/player/13666/brollan
interz,Russia,Cloud9,7,191,-23,0.79,0.9,IEM Rio Major 2022,6586,Timofey 'interz' Yakushin,15071,https://www.hltv.org/player/15071/interz
karrigan,Denmark,FaZe,5,153,-22,0.8,0.89,IEM Rio Major 2022,6586,Finn 'karrigan' Andersen,429,https://www.hltv.org/player/429/karrigan
rigoN,Switzerland,Bad News Eagles,7,192,-38,0.75,0.88,IEM Rio Major 2022,6586,Rigon 'rigoN' Gashi,12708,https://www.hltv.org/player/12708/rigon
apEX,France,Vitality,5,166,-26,0.76,0.87,IEM Rio Major 2022,6586,Dan 'apEX' Madesclaire,7322,https://www.hltv.org/player/7322/apex
refrezh,Denmark,Sprout,6,154,-24,0.77,0.87,IEM Rio Major 2022,6586,Ismail 'refrezh' Ali,10610,https://www.hltv.org/player/10610/refrezh
gxx-,Kosovo,Bad News Eagles,7,192,-22,0.84,0.85,IEM Rio Major 2022,6586,Genc 'gxx-' Kolgeci,19725,https://www.hltv.org/player/19725/gxx
lauNX,Romania,Sprout,6,154,-28,0.76,0.84,IEM Rio Major 2022,6586,LaurenÈ›iu 'lauNX' ÈšÃ¢rlea,20761,https://www.hltv.org/player/20761/launx
sinnopsyy,Kosovo,Bad News Eagles,7,192,-37,0.75,0.84,IEM Rio Major 2022,6586,Dionis 'sinnopsyy' Budeci,18120,https://www.hltv.org/player/18120/sinnopsyy
tabseN,Germany,BIG,8,205,-43,0.72,0.82,IEM Rio Major 2022,6586,Johannes 'tabseN' Wodarz,5794,https://www.hltv.org/player/5794/tabsen
nitr0,United States,Liquid,9,224,-54,0.65,0.79,IEM Rio Major 2022,6586,Nick 'nitr0' Cannella,7687,https://www.hltv.org/player/7687/nitr0
