Name,Full name,Player ID,Full link
ScreaM,Adil 'ScreaM' Benrlitom,7390,https://www.hltv.org/player/7390/scream
pronax,Markus 'pronax' Wallsten,41,https://www.hltv.org/player/41/pronax
Spiidi,Timo 'Spiidi' Richter,7499,https://www.hltv.org/player/7499/spiidi
pyth,Jacob 'pyth' MourujÃ¤rvi,7527,https://www.hltv.org/player/7527/pyth
hazed,James 'hazed' Cobb,8347,https://www.hltv.org/player/8347/hazed
spaze,Ivan 'spaze' Obrezhan,8345,https://www.hltv.org/player/8345/spaze
TENZKI,Jesper 'TENZKI' Plougmann,5287,https://www.hltv.org/player/5287/tenzki
pita,Faruk 'pita' Pita,434,https://www.hltv.org/player/434/pita
Shara,Oleksandr 'Shara' Hordieyev,1866,https://www.hltv.org/player/1866/shara
friberg,Adam 'friberg' Friberg,7148,https://www.hltv.org/player/7148/friberg
reltuC,Stephen 'reltuC' Cutler,8137,https://www.hltv.org/player/8137/reltuc
hooch,Dmitry 'hooch' Bogdanov,499,https://www.hltv.org/player/499/hooch
zonic,Danny 'zonic' SÃ¸rensen,21,https://www.hltv.org/player/21/zonic
koosta,Kenneth 'koosta' Suen,9056,https://www.hltv.org/player/9056/koosta
DEVIL,Timothée 'DEVIL' Démolon,8569,https://www.hltv.org/player/8569/devil
adreN,Dauren 'AdreN' Kystaubayev,334,https://www.hltv.org/player/334/adren
DAVEY,David 'DAVEY' Stafford,8508,https://www.hltv.org/player/8508/davey
Maikelele,Mikail 'Maikelele' Bill,1045,https://www.hltv.org/player/1045/maikelele
THREAT,BjÃ¶rn 'THREAT' Pers,37,https://www.hltv.org/player/37/threat
arya,Arya 'arya' Hekmat,6453,https://www.hltv.org/player/6453/arya
Professor_Chaos,Andrew 'Professor_Chaos' Heintz,8912,https://www.hltv.org/player/8912/professor-chaos
freakazoid,Ryan 'freakazoid' Abadir,7808,https://www.hltv.org/player/7808/freakazoid
jasonR,Jason 'jasonR' Ruchelski,8794,https://www.hltv.org/player/8794/jasonr
abE,Abraham 'abE' Fazli,8502,https://www.hltv.org/player/8502/abe
Furlan,Damian 'Furlan' Kislowski,8327,https://www.hltv.org/player/8327/furlan
seang@res,Sean 'seang@res' Gares,1916,https://www.hltv.org/player/1916/seangres
Hyper,Bartosz 'Hyper' Wolny,20435,https://www.hltv.org/player/7368/hyper
GruBy,Dominik 'GruBy' Swiderski,8570,https://www.hltv.org/player/8570/gruby
FNS,Pujan 'FNS' Mehta,6451,https://www.hltv.org/player/6451/fns
peet,Piotr 'peet' Ä†wikliÅ„ski,7369,https://www.hltv.org/player/7369/peet
DavCost,Vadim 'DavCost' Vasilyev,8124,https://www.hltv.org/player/8124/davcost
USTILO,Karlo 'USTILO' Pivac,8771,https://www.hltv.org/player/8771/ustilo
SPUNJ,Chad 'SPUNJ' Burchill,8085,https://www.hltv.org/player/8085/spunj
Maniac,Mathieu 'Maniac' Quiquerez,823,https://www.hltv.org/player/823/maniac
